Object ID,Reported Redshift (Heliocentric),CMB rest frame z,RA (deg),Dec (deg),"Time lag (ADC a = 1/3), from JAVELIN",Lower Uncertainty (1-Sigma),Upper Uncertainty (1-Sigma),Log time lag,Log tau_err Symm,log V-band Luminosity,Upper L Uncertainty,Lower L Uncertainty,L_err Symm,Spectral Flux at obs band (mJy),Upper Flux Uncertainty,Lower Flux Uncertainty,Helper Column (microJy),Helper Column,Helper Column,Obs. Band
SDSS J0007−0054,0.1452,0.1438434055,1.874958333,-0.9077805556,35.9,2.8,2.8,1.555094449,0.03394148562,42.602,0.154,0.241,0.1975,0.0163,0.007,0.007,16.3,7,7,R
LBQS 0023+0228,0.236,0.2345604392,6.591416667,2.744944444,,,,,,,-999,-999,-999,-999,-999,-999,-999000,-999000,-999000,R
SDSS J0207−0048,0.3728,0.3715929844,31.8507375,-0.8115027778,231.6,62.9,62.9,2.364738555,0.1209851083,43.975,0.125,0.099,0.112,0.0543,0.0181,0.0111,54.3,18.1,11.1,I
SDSS J0315+0012,0.2073,0.2065827216,48.927675,0.2079861111,76.26,0.57,0.48,1.882296801,0.002991644813,43.454,0.05,0.057,0.0535,0.0545,0.0067,0.0067,54.5,6.7,6.7,R
PG 0844+349,0.064,0.06477600967,131.9269375,34.75122222,99.7,10.3,10.9,1.998695158,0.04620880409,44.454,0.012,0.012,0.012,5.878,0.161,0.161,5878,161,161,V
SDSS J0943−0043,0.2714,0.2728469899,145.8983875,-0.7227916667,158.1,14.5,16.4,2.19893187,0.04232049569,43.671,0.023,0.025,0.024,0.0496,0.0027,0.0027,49.6,2.7,2.7,R
PG 0953+414,0.2341,0.2350553157,149.2183,41.25618056,485.4,22.3,35.8,2.686099772,0.02566481302,45.423,0.006,0.006,0.006,3.845,0.052,0.052,3845,52,52,R
SDSS J0957−0023,0.5956,0.5974572299,149.4935375,-0.3983416667,596.6,79.5,79.5,2.775683249,0.05821819908,45.408,0.005,0.005,0.005,0.5234,0.006,0.006,523.4,6,6,I
2QZ J1013+0028,0.3305,0.3320777716,153.4800417,0.4806333333,166.5,27.6,27.6,2.221414238,0.07266164483,43.712,0.03,0.032,0.031,0.0356,0.0026,0.0026,35.6,2.6,2.6,R
LBQS 1022−0005,0.3203,0.3218860638,156.2105042,-0.3506694444,217.2,10.9,13.9,2.336859821,0.02465035875,44.27,0.008,0.008,0.008,0.1377,0.0027,0.0027,137.7,2.7,2.7,R
LBQS 1026−0032,0.2592,0.2607198937,157.3362583,-0.7965555556,213.1,22.9,42.2,2.32858345,0.0639201511,43.944,0.019,0.02,0.0195,0.1023,0.0045,0.0045,102.3,4.5,4.5,R
2QZ J1032−0233,0.567,0.5689014722,158.102675,-2.556016667,,,,,,44.863,0.075,0.101,0.088,0.1659,0.0315,0.0344,165.9,31.5,34.4,I
SDSS J1044+0003,0.4428,0.444556511,161.2053375,0.05033888889,108.1,20.4,24,2.033825694,0.08895161212,44.252,0.01,0.01,0.01,0.0697,0.0015,0.0015,69.7,1.5,1.5,I
2QZ J1138−0131,0.478,0.4798053714,174.5299833,-1.532961111,85.3,30.9,26.4,1.930949031,0.1562271367,43.971,0.324,0.21,0.267,0.0308,0.0342,0.0118,30.8,34.2,11.8,I
2QZ J1220−0119,0.513,0.5147767774,185.1352958,-1.330322222,,,,,,,-999,-999,-999,-999,-999,-999,-999000,-999000,-999000,I
2QZ J1225−0101,0.575,0.5768348987,186.4560083,-1.031697222,,,,,,44.44,0.038,0.042,0.04,0.0606,0.0055,0.0056,60.6,5.5,5.6,I
2QZ J1247+0025,0.411,0.4125788412,191.9237625,0.421325,221.8,30.1,39.8,2.345961542,0.06750781339,43.944,0.152,0.113,0.1325,0.0402,0.0168,0.0092,40.2,16.8,9.2,I
SDSS J1309−0015,0.4228,0.4243208114,197.3194667,-0.2639305556,256.4,57.4,57.4,2.408918021,0.09889993142,44.161,0.017,0.018,0.0175,0.0623,0.0025,0.0025,62.3,2.5,2.5,I
LBQS 1339+0210,0.2728,0.2740285564,205.5674042,1.921852778,,,,,,43.812,0.027,0.029,0.028,0.0672,0.0043,0.0043,67.2,4.3,4.3,R
