Object ID,True ID (Shen and Liu),Reported z,tauW1 JAV with ADC,tauW1JAVADC_err,tauW1JAVADC_ERR,Raw tauW1 (÷ (1+z)^0.62),Raw tauW1_err,Raw tauW1_ERR,tauW2 JAV with ADC,tauW2JAVADC_err,tauW2JAVADC_ERR,Raw tauW2 (÷ (1+z)^0.62),Raw tauW2_err,Raw tauW2_ERR
OB01,014017.07-005003.0,0.334,"1,059.00000",188.00000,97.00000,885.725903,157.2393482,81.12881264,"1,076.00000",211.00000,104.00000,899.9443547,176.476077,86.98346923
OB02,031027.83-004950.8,0.080,163.00000,91.00000,103.00000,155.40496,86.75982432,98.20068027,179.00000,63.00000,102.00000,170.6594346,60.06449376,97.24727561
OB03,032213.90+005513.5,0.185,616.00000,27.00000,29.00000,554.4665294,24.30291606,26.10313207,619.00000,13.00000,23.00000,557.1668535,11.70140403,20.70248405
OB04,073623.13+392617.8,0.118,947.00000,315.00000,17.00000,883.7228018,293.9521463,15.86408409,963.00000,10.00000,17.00000,898.6537045,9.331814169,15.86408409
OB05,080131.97+473616.0,0.157,506.00000,5.00000,6.00000,462.2573596,4.56776047,5.481312564,"1,258.00000",11.00000,12.00000,1149.248534,10.04907303,10.96262513
OB06,082308.29+421521.0,0.056,105.00000,16.00000,24.00000,101.5120667,15.4685054,23.20275811,254.00000,151.00000,24.00000,245.5625233,145.9840197,23.20275811
OB07,082628.20+085535.4,0.254,541.00000,65.00000,90.00000,470.1677024,56.48965001,78.21643848,546.00000,69.00000,109.00000,474.5130601,59.96593617,94.72879771
OB08,082758.53+233302.9,0.302,491.00000,44.00000,49.00000,416.8911559,37.35888159,41.60420904,,,,0,0,0
OB09,083949.65+484701.5,0.039,556.00000,32.00000,23.00000,542.9666461,31.24987891,22.46085047,562.00000,25.00000,188.00000,548.8259984,24.4139679,183.5930386
OB10,085439.24+174122.4,0.065,446.00000,17.00000,33.00000,428.9217822,16.34903654,31.73636505,447.00000,20.00000,166.00000,429.8834903,19.23416064,159.6435333
OB11,092554.72+195405.1,0.192,999.00000,30.00000,58.00000,895.9302698,26.90481291,52.01597162,"1,323.00000",82.00000,302.00000,1186.502249,73.53982195,270.8417833
OB12,093701.05+010543.8,0.051,,,,0,0,0,"1,233.00000",7.00000,5.00000,1195.554539,6.787414253,4.848153038
OB13,094733.22+100508.8,0.139,622.00000,292.00000,36.00000,573.7803562,269.3631254,33.20915245,646.00000,30.00000,23.00000,595.9197912,27.67429371,21.21695851
OB14,094745.15+072520.6,0.086,470.00000,25.00000,34.00000,446.5636473,23.7533855,32.30460427,512.00000,48.00000,42.00000,486.469335,45.60650015,39.90568763
OB15,095955.85+130237.8,0.035,148.00000,54.00000,48.00000,144.8767512,52.86043625,46.98705444,160.00000,16.00000,64.00000,156.6235148,15.66235148,62.64940592
OB16,100402.61+285535.4,0.329,719.00000,51.00000,57.00000,602.7585815,42.75478117,47.78475542,755.00000,49.00000,56.00000,632.9384271,41.07812308,46.94642638
OB17,100420.14+051300.4,0.160,855.00000,88.00000,394.00000,779.8339916,80.26361551,359.3620967,840.00000,55.00000,64.00000,766.1526935,50.16475969,58.37353855
OB18,100710.21+220301.3,0.082,126.00000,46.00000,32.00000,119.9912682,43.80633601,30.47397287,145.00000,50.00000,50.00000,138.0851896,47.61558262,47.61558262
OB19,100726.10+124856.2,0.241,593.00000,43.00000,92.00000,518.6999293,37.61230516,80.47283895,,,,0,0,0
OB20,100854.94+373930.0,0.054,84.00000,12.00000,53.00000,81.30515972,11.61502282,51.29968411,247.00000,18.00000,31.00000,239.0758863,17.42253423,30.00547561
OB21,101044.51+004331.3,0.177,309.00000,41.00000,29.00000,279.3039467,37.05974697,26.21299176,311.00000,49.00000,28.00000,281.1117392,44.29091711,25.30909549
OB22,101303.18+355123.8,0.079,146.00000,27.00000,39.00000,139.2770502,25.75671476,37.20414354,191.00000,42.00000,20.00000,182.2049081,40.06600074,19.07904797
OB23,102255.63+184744.6,0.176,268.00000,43.00000,46.00000,242.3718928,38.88802758,41.60114579,275.00000,28.00000,23.00000,248.702502,25.32243657,20.80057289
OB24,102531.28+514034.9,0.045,178.00000,68.00000,8.00000,173.2079821,66.16934149,7.784628411,184.00000,4.00000,28.00000,179.0464534,3.892314205,27.24619944
OB25,104505.17+084339.1,0.125,212.00000,58.00000,30.00000,197.0703541,53.91547424,27.88731426,212.00000,80.00000,54.00000,197.0703541,74.36617137,50.19716568
OB26,104936.91+062922.1,0.152,416.00000,84.00000,93.00000,381.0595003,76.94470679,85.18878251,473.00000,47.00000,133.00000,433.2719799,43.05239546,121.8291191
OB27,105143.90+335926.7,0.170,450.00000,80.00000,28.00000,408.2604214,72.57963047,25.40287066,447.00000,68.00000,53.00000,405.5386852,61.6926859,48.08400519
OB28,105827.06+223533.5,0.094,165.00000,14.00000,60.00000,156.0605757,13.24150339,56.74930024,234.00000,15.00000,38.00000,221.3222709,14.18732506,35.94122349
OB29,110538.99+020257.4,0.106,234.00000,21.00000,17.00000,219.8303638,19.72836599,15.97058199,828.00000,16.00000,15.00000,777.8612874,15.03113599,14.09168999
OB30,111706.40+441333.3,0.140,380.00000,14.00000,17.00000,350.3503767,12.90764546,15.67356948,412.00000,27.00000,25.00000,379.8535663,24.89331624,23.04936689
OB31,111830.29+402554.0,0.150,654.00000,31.00000,68.00000,599.7152428,28.42686931,62.35571332,691.00000,57.00000,29.00000,633.6440868,52.26875969,26.59287774
OB32,112439.18+420145.0,0.230,351.00000,12.00000,76.00000,308.7208401,10.55455864,66.84553803,454.00000,13.00000,8.00000,399.3141351,11.43410519,7.036372424
OB33,112536.17+542257.2,0.021,40.00000,7.00000,7.00000,39.48789937,6.910382389,6.910382389,38.00000,5.00000,6.00000,37.5135044,4.935987421,5.923184905
OB34,112813.03+102308.3,0.050,228.00000,10.00000,12.00000,221.2062949,9.702030478,11.64243657,235.00000,16.00000,53.00000,227.9977162,15.52324876,51.42076153
OB35,113029.13+493457.8,0.096,459.00000,50.00000,59.00000,433.640805,47.23756046,55.74032134,495.00000,65.00000,122.00000,467.6518485,61.4088286,115.2596475
OB36,114105.71+024117.0,0.093,238.00000,33.00000,51.00000,225.2332257,31.22981701,48.26426265,285.00000,45.00000,37.00000,269.712056,42.5861141,35.01524937
OB37,114434.73+070516.5,0.075,140.00000,44.00000,67.00000,133.8612228,42.07067002,64.06215662,156.00000,23.00000,81.00000,149.1596482,21.9914866,77.4482789
OB38,114646.02+371511.7,0.295,666.00000,16.00000,63.00000,567.3707894,13.63052947,53.67020981,"1,298.00000",103.00000,44.00000,1105.776704,87.7465335,37.48395606
OB39,114755.07+090229.0,0.069,167.00000,17.00000,15.00000,160.2323838,16.31108099,14.39213029,166.00000,14.00000,11.00000,159.2729085,13.43265493,10.55422888
OB40,120011.27+100135.6,0.085,248.00000,108.00000,89.00000,235.7682083,102.673252,84.61036508,782.00000,136.00000,103.00000,743.4303988,129.2922433,97.91986071
OB41,120114.35-034041.0,0.020,133.00000,39.00000,74.00000,131.3770587,38.52409991,73.09701009,208.00000,66.00000,154.00000,205.4618662,65.19463062,152.1208048
OB42,120332.94+022934.7,0.077,404.00000,15.00000,64.00000,385.8403377,14.32575511,61.12322182,,,,0,0,0
OB43,120442.11+275411.8,0.170,582.00000,14.00000,8.00000,528.0168117,12.70143533,7.257963047,589.00000,4.00000,3.00000,534.3675293,3.628981523,2.721736143
