Object ID,Reported ID (Mandal),True ID (Shen and Liu),Reported Redshift (Mandal),Heliocentric z (NED),DR7 Helio z (Shen and Liu),CMB rest frame z,Flow Corrected z (NED),RA (deg),Dec (deg),Log Bolemetric L (Mandal),Uncertainty in log(Lbol),log(L5100 L3000 L1350) (Shen),Uncertainty in L (Shen),log(L5100) for Sample 1 (Liu),Uncertainty in L (Liu),Adopted log(L),Adopted L_err,Peak CCF W1,pVal,Time delay W1,Lower uncertainty in tauW1 (1sigma),Upper Uncertainty in tauW1 (1sigma),tauW1 Corrected for AD,Lower Uncertainty in tauW1AD (1sigma),Upper Uncertainty in tauW1AD (1sigma),TauADW1 from Javelin,Lower Uncertainty in tauADW1JAV,Upper Uncertainty in tauADW1JAV,Log tauADW1JAV,Log_err Symm tauADW1JAV,Peak CCF W2,pValW2,Time delay W2,Lower uncertainty in tauW2 (1sigma),Upper uncertainty in tauW2 (1sigma),tauW2 Corrected for AD,Lower Uncertainty in tauW2AD (1sigma),Upper Uncertainty in tauW2AD (1sigma),TauADW2 from Javelin,Lower Uncertainty in tauADW2JAV,Upper Uncertainty in tauADW2JAV
OB01,J014017.07-00503.0,014017.07-005003.0,0.334,0.334051,0.334406,0.3327528724,,25.071125,-0.8341666667,46.14,0.01,45.17173002,0.00423369192,45.16963501,0.00002371207283,45.16963501,0.00002371207283,0.85,0.0811,617,99,105,773,178,189,1059,188,97,3.02489596,0.06146983954,0.82,0.1421,619,113,117,795,208,209,1076,211,104
OB02,J031027.83-004950.8,031027.83-004950.8,0.08,0.080148,0.0801678,0.07948296923,,47.61595833,-0.8307777778,45.05,0.01,44.09691241,0.01419144884,44.08710749,0.00002014231389,44.08710749,0.00002014231389,0.74,0.0089,73,33,51,133,78,91,163,91,103,2.212187604,0.2837745701,0.73,0.0093,98,39,74,165,95,87,179,63,102
OB03,J032213.90+005513.5,032213.90+005513.5,0.185,0.18478,0.184941,0.1841103251,,50.55791667,0.9204166667,45.69,0.01,44.7201968,0.0009281979391,44.71965812,0.000006891491901,44.71965812,0.000006891491901,0.71,0.1689,375,150,110,400,145,116,616,27,29,2.789580712,0.01972220992,0.7,0.1953,422,164,130,434,172,130,619,13,23
OB04,J073623.13+392617.8,073623.13+392617.8,0.118,0.117997,0.118065,0.118515094,,114.096375,39.43827778,45.3,0.01,44.31745098,0.001002075382,44.3328651,0.00001018409307,44.3328651,0.00001018409307,0.71,0.1933,693,181,559,720,198,569,947,315,17,2.976349979,0.09167997781,0.66,0.1993,1087,263,312,1099,282,329,963,10,17
OB05,J080131.97+473616.0,080131.97+473616.0,0.157,0.156837,0.156938,0.1573543657,,120.3832083,47.60444444,45.63,0.01,44.65658824,0.001945663603,44.66122016,0.00004487275998,44.66122016,0.00004487275998,0.72,0.1553,843,162,134,838,180,156,506,5,6,2.704150517,0.004716117554,0.7,0.1926,1004,182,242,985,188,230,1258,11,12
OB06,J08238.29+421521.0,082308.29+421521.0,0.056,0.056183,0.0561806,0.05678704143,,125.7845417,42.25583333,44.38,0.01,none,none,43.41383005,0.01133321801,43.41383005,0.01133321801,0.75,0.0904,121,81,86,131,86,91,105,16,24,2.021189299,0.08059985183,0.73,0.1203,198,102,109,217,103,113,254,151,24
OB07,J082628.20+085535.4,082628.20+085535.4,0.254,0.254802,0.254255,0.2559138935,,126.6175,8.9265,45.63,0.01,44.65676345,0.001612215345,44.65942389,0.01447748777,44.65942389,0.01447748777,0.77,0.0613,430,69,79,501,100,126,541,65,90,2.733197265,0.06121120326,0.74,0.1139,502,83,100,566,113,148,546,69,109
OB08,J082758.53+23332.9,082758.53+233302.9,0.302,0.302092,0.301933,0.3031192063,,126.993875,23.55080556,46.02,0.01,45.03476942,0.001951344892,45.05325595,0.01053788044,45.05325595,0.01053788044,0.71,0.183,1121,514,188,1091,458,176,491,44,49,2.691081492,0.04104311835,,,,,,,,,,,
OB09,J083949.65+48471.5,083949.65+484701.5,0.039,0.039197,0.0393475,0.03974156048,,129.956875,48.78375,43.91,0.01,none,none,42.93873679,0.0142200891,42.93873679,0.0142200891,0.64,0.0648,338,157,137,348,159,135,556,32,23,2.745074792,0.02167363837,0.64,0.0445,365,174,145,373,167,157,562,25,188
OB10,J085439.24+174122.4,085439.24+174122.4,0.065,0.065212,0.0654231,0.06619149501,,133.6635,17.68955556,44.86,0.01,none,none,43.895252,0.008296280084,43.895252,0.008296280084,0.7,0.1793,302,75,85,319,82,88,446,17,33,2.649334859,0.02393911061,0.69,0.1912,337,70,97,353,79,98,447,20,166
